goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkSIMDXor/simd=off/data=sparse-24              	      25	   8960908 ns/op	 4563171 B/op	   65580 allocs/op
BenchmarkSIMDXor/simd=off/data=sparse-24              	      20	  10071718 ns/op	 4563169 B/op	   65580 allocs/op
BenchmarkSIMDXor/simd=off/data=sparse-24              	      25	   9197836 ns/op	 4563173 B/op	   65580 allocs/op
BenchmarkSIMDXor/simd=off/data=sparse-24              	      25	   9213011 ns/op	 4563180 B/op	   65580 allocs/op
BenchmarkSIMDXor/simd=off/data=sparse-24              	      18	  11378171 ns/op	 4563178 B/op	   65580 allocs/op
BenchmarkSIMDXor/simd=off/data=sparse-24              	      18	  11689953 ns/op	 4563175 B/op	   65580 allocs/op
BenchmarkSIMDXor/simd=off/data=sparse-24              	      21	  10947571 ns/op	 4563171 B/op	   65580 allocs/op
BenchmarkSIMDXor/simd=off/data=sparse-24              	      21	  10014994 ns/op	 4563176 B/op	   65580 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    6142	     35812 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    5584	     41535 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    7560	     43000 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    6164	     36645 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    8482	     31446 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    7797	     30723 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    6680	     37127 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    7315	     32459 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    8788	     30232 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=runs-24                	    9324	     33593 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      58	   3973293 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      52	   4495648 ns/op	 1212392 B/op	    7245 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      57	   4010077 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      54	   4416496 ns/op	 1212386 B/op	    7245 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      60	   4354661 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      62	   4090683 ns/op	 1212385 B/op	    7245 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      54	   4324400 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      62	   3880357 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      51	   4142203 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDXor/simd=off/data=zipf-24                	      58	   4050742 ns/op	 1212385 B/op	    7245 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      26	   8568843 ns/op	 2467372 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      30	   7704346 ns/op	 2467369 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      30	   7610747 ns/op	 2467370 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      26	   8154189 ns/op	 2467370 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      25	   9078326 ns/op	 2467369 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      30	   7973456 ns/op	 2467370 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      24	   8681024 ns/op	 2467371 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      27	   8216495 ns/op	 2467369 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      26	   7918636 ns/op	 2467369 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=sparse-24   	      30	   7642768 ns/op	 2467370 B/op	   65228 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   26803	      9202 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   26221	      9159 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   26518	      9092 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   26188	      9278 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   25239	      9518 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   25843	      9330 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   24405	      9453 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAndCardinality/simd=off/data=runs-24     	   26798	      9485 ns/op	       0 B/op	       0 allocs/op
